id,name,category,type,ship_to_name,ship_to_erp,ship_to_id,license_plate_number,erp_id,Asset Type,Tank Size,Hub,LoS,Date Added
560629,CUSTOMER TANK DYED,tank,CustomerAsset,E Airtex,80000FD3-1600710935-E  Airtex,268025,CUSTOMER TANK DYED,,,,,,
560634,REEFER,generator,CustomerAsset,373- Rayford,800008D8-1549389599-373- Rayford,273314,REEFER,,,,,,
560637,MS-UL-1430,tank,RentalAsset,Holderrieth Rd,800009F7-1564606690-Holderrieth Rd,490976,MS-UL-1430,MS-UL-1430,,,,,
560643,John Deere Dozer CCC203,equipment,CustomerAsset,Hemstead,80000058-1405975416-Hemstead,282990,John Deere Dozer CCC203,,,,,,
560679,DIESEL PUMP HOUSE,generator,CustomerAsset,Gellhorn,800004AA-1488298967-Gellhorn,37320,DIESEL PUMP HOUSE,,,,,,
560685,MS-OH-1008,tank,RentalAsset,Midland HUB,,270398,MS-OH-1008,MS-OH-1008,,,,,
560701,XQ570,generator,CustomerAsset,117 - Kuykendahl,800008D8-1549389599-117 - Kuykendahl,275869,XQ570,,,,,,
560704,EQUIP,equipment,CustomerAsset,UNION PACIFIC LLOYD YARD,PENDING,322498,EQUIP,,,,,,
560705,EQUIP - NL,equipment,CustomerAsset,UNION PACIFIC LLOYD YARD,PENDING,322498,EQUIP - NL,,,,,,
560715,ERS TANK,tank,CustomerAsset,Jefferson Chemical,800004B1-1488559327-Jefferson Chemical,272539,ERS TANK,,,,,,
560729,MS-633,tank,RentalAsset,DISD John Lewis,800017A8-1657127576-DISD John Lewis,703694,MS-633,MS-633,,,,,
560731,GN500-50,generator,CustomerAsset,373- Rayford,800008D8-1549389599-373- Rayford,273314,GN500-50,,,,,,
560762,XCYE014,generator,CustomerAsset,Beazer A695753,800001CC-1436472496-Beazer A695753,320002,XCYE014,,,,,,
560769,MS-2225,tank,RentalAsset,Midland HUB,,270398,MS-2225,MS-2225,,,,,
560770,WAJA398,tank,CustomerAsset,CBRE A696003,800001CC-1436472496-CBRE A696003,314103,WAJA398,,,,,,
560777,GEN,generator,CustomerAsset,Forest Pk Oaks WWTP,80000176-1429107791-Forest Pk Oaks WWTP,322584,GEN,,,,,,
560781,CUSTOMER TANK DYED,tank,CustomerAsset,Unit-24 Pitchblend,80001748-1654627412-Unit-24 Pitchblend,270349,CUSTOMER TANK DYED,,,,,,
560785,CUSTOMER TANK,tank,CustomerAsset,Deep Elem 4 582H,80001746-1654626845-Deep Elem 4 582H,322587,CUSTOMER TANK,,,,,,
560786,CUST TANK,tank,CustomerAsset,Ship To 1,80000CE2-1571152850-Ship To 1,267813,CUST TANK,,,,,,
560790,GEN,generator,CustomerAsset,CVS-24802 ALDINE WES,800015E5-1646839871-CVS-24802 ALDINE WES,322590,GEN,,,,,,
560791,GEN #800-37-3907,generator,CustomerAsset,Amazon,8000113D-1614378860-Amazon,322591,GEN #800-37-3907,,,,,,
560863,Waste Water Custom Tank 1,tank,CustomerAsset,Forest Pk Oaks WWTP,80000176-1429107791-Forest Pk Oaks WWTP,322584,Waste Water Custom Tank 1,,,,,,
560864,Bobtail 320140,vehicle,CustomerAsset,Bluff Point Dr,800015AC-1645814863-Bluff Point Dr,167149,2750641,,,,,,
560865,Waste Water Cust Tank 2,tank,CustomerAsset,Forest Pk Oaks WWTP,80000176-1429107791-Forest Pk Oaks WWTP,322584,Waste Water Cust Tank 2,,,,,,
560866,Waste Water Custome Tank 3,tank,CustomerAsset,Forest Pk Oaks WWTP,80000176-1429107791-Forest Pk Oaks WWTP,322584,Waste Water Custome Tank 3,,,,,,
560868,Penske,vehicle,CustomerAsset,Bluff Point Dr,800015AC-1645814863-Bluff Point Dr,167149,Sww4979,,,,,,
560871,Ford pu,vehicle,CustomerAsset,Bluff Point Dr,800015AC-1645814863-Bluff Point Dr,167149,HHX3846,,,,,,
560895,6340,tank_wagon,DeliveryAsset,Houston HUB,,135003,6340,,,,,,
560899,CUST GEN,generator,CustomerAsset,"LVA4 Houston Greenstreet, L.P.",80001CCE-1687292517,317787,CUST GEN,,,,,,
560900,CUST GEN,generator,CustomerAsset,Ship To 1,80001C67-1684417461-Ship To 1,299977,CUST GEN,,,,,,
560901,CUST EQUIPMENT,equipment,CustomerAsset,WILL CLAYTON PKWY,800001CA-1436449764-WILL CLAYTON PKWY,322606,CUST EQUIPMENT,,,,,,
560902,MS-341,tank,RentalAsset,Houston HUB,,135003,MS-341,MS-341,,,,,
560906,Gen-4,generator,CustomerAsset,WILL CLAYTON PKWY,800001CA-1436449764-WILL CLAYTON PKWY,322606,Gen-4,,,,,,
560908,JCB 10911468,equipment,CustomerAsset,WILL CLAYTON PKWY,800001CA-1436449764-WILL CLAYTON PKWY,322606,JCB 10911468,,,,,,
560909,UTV-9,equipment,CustomerAsset,WILL CLAYTON PKWY,800001CA-1436449764-WILL CLAYTON PKWY,322606,UTV-9,,,,,,
560913,MS-1572,tank,RentalAsset,Kyle Crossing,80002064-1707504982-Kyle Crossing,706620,MS-1572,MS-1572,,,,,
